scenario,perturbed_parameter,baseline_value,new_value,g_n_star,r_star,TFR
baseline,(none),,,-0.0043666956004834,0.0524120676902293,1.7688201691088288
Gamma_1_up10,Gamma_1,1.625,1.7875,-0.007879071594584,0.0522437387897239,1.6047184648278718
Gamma_2_up10,Gamma_2,0.34,0.374,-0.0077543446744538,0.0522776590885656,1.6097410646521146
rho_dn10,rho,0.02,0.018,-0.0042861507293915,0.050444241407754,1.772770668038663
chi_dn10,chi,1.252,1.1268,-0.0069709733812818,0.0522737345270862,1.645982094870254
z_up10,z,0.1,0.11,-0.0023036126246473,0.0538149129437596,1.87289374251167
psi_up10,psi,0.5,0.55,0.0006257280224735,0.0526608557169322,2.0248825349606494
g_dn10,g,0.02,0.018,-0.0044967770053332,0.0504536646685886,1.762412091638038
