scenario,perturbed_parameter,multiplier,baseline_value,new_value,r_star,g_n_star,min_work_time,max_n
baseline,(none),1.0,,,0.052412067690229325,-0.00436669560048343,0.27227614187232163,0.11003349500069917
Gamma_1_up10,Gamma_1,1.1,1.625,1.7875,0.05224373878972395,-0.00787907159458408,0.26959594806227793,0.10171522058479018
Gamma_2_up10,Gamma_2,1.1,0.34,0.37400000000000005,0.05227765908856568,-0.007754344674453899,0.26872882562962463,0.10183957624707303
rho_dn10,rho,0.9,0.02,0.018000000000000002,0.05044424140775409,-0.004286150729391514,0.26543275971491864,0.11019241369489301
chi_dn10,chi,0.9,1.252,1.1268,0.0522737345270862,-0.006970973381281815,0.26924086988673523,0.10516637261617812
z_up10,z,1.1,0.1,0.11000000000000001,0.05381491294375965,-0.002303612624647347,0.23699175820966978,0.11473275805714489
psi_up10,psi,1.1,0.5,0.55,0.052660855716932256,0.0006257280224735196,0.27781563168632417,0.1135037672241044
g_dn10,g,0.9,0.02,0.018000000000000002,0.05045366466858865,-0.004496777005333232,0.27424059035531667,0.109654923268734
