a,c_baseline,l_baseline,h_baseline,b_baseline,o_baseline,n_baseline,work_time_baseline,c_Gamma_1_up10,l_Gamma_1_up10,h_Gamma_1_up10,b_Gamma_1_up10,o_Gamma_1_up10,n_Gamma_1_up10,work_time_Gamma_1_up10,c_Gamma_2_up10,l_Gamma_2_up10,h_Gamma_2_up10,b_Gamma_2_up10,o_Gamma_2_up10,n_Gamma_2_up10,work_time_Gamma_2_up10,c_rho_dn10,l_rho_dn10,h_rho_dn10,b_rho_dn10,o_rho_dn10,n_rho_dn10,work_time_rho_dn10,c_chi_dn10,l_chi_dn10,h_chi_dn10,b_chi_dn10,o_chi_dn10,n_chi_dn10,work_time_chi_dn10,c_z_up10,l_z_up10,h_z_up10,b_z_up10,o_z_up10,n_z_up10,work_time_z_up10,c_psi_up10,l_psi_up10,h_psi_up10,b_psi_up10,o_psi_up10,n_psi_up10,work_time_psi_up10,c_g_dn10,l_g_dn10,h_g_dn10,b_g_dn10,o_g_dn10,n_g_dn10,work_time_g_dn10
0.0,0.060633182350652716,0.12139445795665584,1.0,-6.5525677575189786e-24,0.48428699630011934,1.2804943219295402e-06,0.27227614187232163,0.06098699200421987,0.1205362655541479,1.0,-1.9546035514551207e-23,0.4871131931466614,1.1572385757442982e-06,0.26959594806227793,0.0609706631837777,0.12156673312052797,1.0,-2.9290748803389003e-23,0.48698304346555576,1.0282036748393043e-06,0.26872882562962463,0.06077205652040651,0.12684910813801603,1.0,-3.3086082977470844e-24,0.485396200476362,1.285631175381107e-06,0.26543275971491864,0.06099381013284846,0.12082306510379874,1.0,1.2937303311839967e-23,0.5412977604889023,1.0759941974600845e-06,0.26924086988673523,0.0623987008499993,0.13902378145504135,1.0,-3.305928308091626e-24,0.49838839644337224,1.3464542688511e-06,0.23699175820966978,0.05996545390235041,0.12256229193128607,1.0,-5.68312399336671e-26,0.47890910723001107,1.7153311025118112e-05,0.27781563168632417,0.06039782007146019,0.12178361582781826,1.0,-4.555503576982184e-23,0.4824071302938685,1.2718085794615315e-06,0.27424059035531667
0.35175879396984927,0.061332457454469975,0.12083689833227022,1.0206308522722085,-0.011570673735536849,0.4767326678612707,1.306386189172067e-06,0.2822916786278614,0.06168665294664037,0.1199865555733644,1.0205940287873094,-0.011793682838050781,0.4795035345150413,1.178676950655669e-06,0.2796729123287547,0.061670881069767126,0.12102552708092097,1.0206390151497984,-0.011819359454949954,0.47936067015504247,1.0504763782488932e-06,0.2788132068608512,0.06147363697636239,0.12622402780773942,1.0208598247546345,-0.01185462096861795,0.4777265626531504,1.3118259528261383e-06,0.2756601840333429,0.06169420770451314,0.12027769133789347,1.0206066645379204,-0.011809538097377455,0.5328408076625996,1.0976404831239735e-06,0.2793155029221043,0.06314985836892867,0.13823826826742272,1.0235100254922445,-0.013431135622938175,0.4895238834247054,1.3771569417915473e-06,0.24887559180481578,0.06066239808228521,0.12198238111676069,1.0206801431719126,-0.011132903118309,0.47145663109507685,1.7393082431707237e-05,0.2877256529932517,0.061051838502767096,0.12121537279193526,1.020647175539826,-0.011398143829500976,0.47488163935540745,1.29757088356122e-06,0.28423070618240875
0.7035175879396985,0.06203173255828724,0.12027933870788461,1.0412617045444168,-0.023141347471073697,0.4691783394224221,1.3322780564145938e-06,0.2923072153834012,0.06238631388906087,0.11943684559258091,1.0411880575746189,-0.023587365676101563,0.47189387588342113,1.2001153255670398e-06,0.2897498765952313,0.06237109895575654,0.12048432104131397,1.041278030299597,-0.02363871890989991,0.47173829684452917,1.0727490816584821e-06,0.2888975880920778,0.06217521743231827,0.12559894747746284,1.0417196495092693,-0.0237092419372359,0.4700569248299388,1.33802073027117e-06,0.2858876083517671,0.06239460527617782,0.11973231757198821,1.041213329075841,-0.02361907619475491,0.5243838548362967,1.1192867687878625e-06,0.2893901359574734,0.06390101588785803,0.1374527550798041,1.047020050984489,-0.02686227124587635,0.48065937040603857,1.4078596147319948e-06,0.26075942539996166,0.061359342262220014,0.1214024703022353,1.041360286343825,-0.022265806236618,0.4640041549601426,1.7632853838296365e-05,0.297635674300179,0.061705856934073995,0.12064712975605225,1.041294351079652,-0.022796287659001952,0.4673561484169464,1.3233331876609084e-06,0.29422082200950095
1.0552763819095479,0.06274705468723678,0.11971619923129097,1.0616248203276757,-0.034340780265362844,0.46232642490100695,1.3575451337412638e-06,0.301448910781806,0.06310194637211407,0.11887970664775034,1.0615142325677822,-0.0350184519854408,0.4649902223101944,1.22092528875437e-06,0.2989503526159326,0.06308731810402692,0.11993652331932081,1.061650872354346,-0.03509735379882524,0.4648233667891288,1.0945749851943969e-06,0.298102842776339,0.06289291398237173,0.12497108910542992,1.0623106422128874,-0.03518125897685607,0.46310504367750494,1.3635714030545393e-06,0.29521918040680395,0.06311100624792826,0.11917978801015518,1.0615527876657513,-0.035068023405058664,0.5167116449574012,1.1404027775065536e-06,0.2985876772973318,0.06467016606179335,0.13666337344953222,1.0702883889975032,-0.03991443257455183,0.47267679138338103,1.4377685062657057e-06,0.2715429473646521,0.0620724041629755,0.1208199634741267,1.0617718426099043,-0.03300736322372821,0.45724722449935534,1.7864401417480182e-05,0.3066774818003769,0.06237396719793907,0.12007419649785156,1.0616732108007956,-0.033783202711071214,0.4605311481634653,1.3484758261385728e-06,0.3033386147282725
1.407035175879397,0.06346254056134074,0.11915300281742988,1.0819852041059452,-0.04553642488678211,0.45548167786854515,1.382805835660629e-06,0.31058168943166864,0.06381774183007169,0.11832249189716419,1.0818376743589644,-0.04644583833020134,0.4580937728702165,1.2417288395771691e-06,0.30814188487902394,0.06380370053048383,0.11938865833526248,1.0820209983571052,-0.046552307824831954,0.457915655542454,1.1163963295479271e-06,0.3072991267815496,0.06361077498236498,0.12434320238603214,1.0828988917323117,-0.04664937189475177,0.4561604865727321,1.389115503341361e-06,0.30454161111221434,0.06382757051967958,0.11862718542999635,1.0818895196643556,-0.04651329111651473,0.5090474426596018,1.1615133752360079e-06,0.30777626872192954,0.06543949983424915,0.13587395234535574,1.0935542608117501,-0.052962726818591974,0.46470321168721346,1.467669297989144e-06,0.28231524165964383,0.06278563053026998,0.12023743015608357,1.082180658193271,-0.043744926882969035,0.4504973914434063,1.8095865080057825e-05,0.3157104299760167,0.06304222125601391,0.11950121538023947,1.082049332605422,-0.044765921551125853,0.4537132957741167,1.373612141497645e-06,0.3124475061908365
1.7587939698492463,0.06419427792559008,0.11858852655686543,1.102073095137936,-0.05634326062876777,0.4492495053154744,1.4074821722255496e-06,0.3189488056296307,0.06454971040683453,0.1177623161519957,1.1018884190656446,-0.05749320004365248,0.45181315475817063,1.2619505992319087e-06,0.3165653583540785,0.06453628656113704,0.11883866811516515,1.102120151222052,-0.057629163359975207,0.45162491055818926,1.1377947173101917e-06,0.31572509494956624,0.06434495779282122,0.12371666296400671,1.1032132446635285,-0.05771712666734843,0.4498412126880014,1.4140570523914232e-06,0.3130798409079054,0.06456034051549533,0.11807189785418874,1.1019542249753471,-0.05758063081922868,0.5020677197310853,1.1821278039145023e-06,0.316196274595143,0.06622707360066706,0.1350866424509297,1.1165674905653782,-0.06560828101252275,0.45749057397203774,1.4968226712341601e-06,0.2921327265992383,0.06351518285583405,0.11965628272945447,1.1023162474957273,-0.054073113802756145,0.44435395727076726,1.8319887319849465e-05,0.32398279295065013,0.06372472695101873,0.11892773639911546,1.1021524011597268,-0.05532162022550722,0.44750627243889896,1.3981689832541461e-06,0.3207921384827852
2.1105527638190957,0.06492635037211046,0.11802402390770915,1.1221553677627871,-0.06714207969282697,0.4430299631640406,1.4321464600202756e-06,0.32730013497291444,0.0652820124499645,0.11720207935539254,1.1219335411520257,-0.06853272619769518,0.445545234199278,1.2821603631924614e-06,0.3249729955654622,0.06526920668672213,0.11828863407576803,1.1222137170119926,-0.06869822304994602,0.44534688652778864,1.159184384317997e-06,0.3241351803168161,0.06507947713545197,0.12309015132130856,1.1235219502424112,-0.06877662663282552,0.4435348312407974,1.4389861777046453e-06,0.3216019016126743,0.0652934446499516,0.1175165549176461,1.1220133214886556,-0.06864017819186548,0.49510210977925506,1.2027320023032863e-06,0.32460043334358546,0.0670150234494347,0.13429937608660156,1.1395755112043544,-0.07824553128789459,0.4502936257822433,1.5259606337888997e-06,0.30193052474799986,0.06424507179909442,0.11907516387790608,1.1224462032666185,-0.06439285996502875,0.4382230261678872,1.854375612824345e-05,0.3322394737561908,0.06440752649420768,0.1183542471527644,1.1222498397501075,-0.06586851436039018,0.44131184351716846,1.422713877101316e-06,0.32912101285369033
2.462311557788945,0.06567487962976791,0.11746149816986175,1.141961684649229,-0.07753520443632955,0.43734729413462303,1.4562676039889527e-06,0.33497732313873374,0.06603068999361428,0.11664228071994107,1.1417024161651042,-0.07917548258433563,0.4398171410913566,1.3018343538998105e-06,0.33270433160477286,0.06601853357319176,0.11773987283122568,1.142032807815834,-0.07937249629628527,0.4396095826556505,1.1801765942022934e-06,0.33186701189693435,0.06583052487396457,0.1224680637213225,1.1435530210657308,-0.07941874583797393,0.43777591964568535,1.463355161283651e-06,0.3294341069301424,0.06604295764620519,0.11696192923597454,1.1417968652392072,-0.07930514634661581,0.48873647430366884,1.2228747971686198e-06,0.33232782434710606,0.06782146206598808,0.1335185811318466,1.1623218588244728,-0.09045719123665366,0.44375700421791625,1.5544004519084332e-06,0.3108951236865879,0.06499149587089545,0.11849841674240172,1.1422995848204627,-0.0742858740899944,0.43262341012434974,1.8760914269336227e-05,0.3398265872962247,0.06510473775905572,0.11778342387690817,1.1420707804037256,-0.07597335228951052,0.43565270460399924,1.446720281132746e-06,0.33677703903842793
2.814070351758794,0.06642392316277339,0.11689903421049275,1.161759377918846,-0.08791565123231473,0.43168140239026853,1.4803717747130655e-06,0.3426334443927571,0.0667798792716553,0.1160824957770256,1.1614626584571415,-0.08980583991574476,0.43410591759127803,1.321491601692997e-06,0.3404145332324563,0.06676837317093905,0.11719115136152254,1.16184332127636,-0.09003443246626104,0.433889176288458,1.2011563835514804e-06,0.3395776480462047,0.06658208912484848,0.1218461143726712,1.163575415802939,-0.09004782189436204,0.4320341164834512,1.4877066404334625e-06,0.33724475426675726,0.06679298341938995,0.1164073259685177,1.1615717979659224,-0.08995778390080719,0.4823895880304652,1.2430031731738456e-06,0.3400340663585978,0.06862847845653476,0.13273798840864076,1.1850600291627518,-0.10265555148770607,0.437241017860635,1.5828184530143668e-06,0.319833685149858,0.06573843666546338,0.11792180622302374,1.1621443234300242,-0.08416555283879423,0.42704039767641677,1.8977862702075838e-05,0.34739277685921166,0.06580239939020559,0.1172126839126299,1.1618830804968199,-0.08606437596220079,0.43001029350359754,1.470709857357434e-06,0.3444120387173477
3.1658291457286434,0.06718962961369027,0.11634099956366135,1.1812787964710398,-0.0978741598474931,0.4264882033655792,1.5039740667427832e-06,0.3496933258647751,0.06754564716533656,0.11552572207558692,1.1809442476173857,-0.10002332444554202,0.42887006878425765,1.3406579357433334e-06,0.3475265553804623,0.06753482343081846,0.11664627565302507,1.181377006425244,-0.10028553916032604,0.4286448420521936,1.2217651871381641e-06,0.3466883967291994,0.06735038915564268,0.12123086229761809,1.18331761109307,-0.10024318345320936,0.4267738963354051,1.5115404529980035e-06,0.34444576323721854,0.06755962193563006,0.11585601651258823,1.1810687970994311,-0.10019983608830313,0.4765710168974989,1.2627049365506152e-06,0.34714170975178804,0.06945423374817562,0.1319670091332225,1.207529202815183,-0.11440632717144977,0.4313010937830271,1.6105890740088397e-06,0.3280414042431822,0.06650212262159588,0.11735178868590669,1.1817102823019732,-0.09360177847602116,0.4219250694007782,1.918878046569299e-05,0.3543668426560622,0.06651463304459425,0.11664698188878572,1.181416581468634,-0.09569901627283231,0.4248391392828111,1.4942019700100826e-06,0.35145198765093344
